"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 14 12:30:44 GMT 2023","Tue Feb 14 12:30:44 GMT 2023","449","tests","test_login_page_v1","","","","test_login_page",""
"passed","Tue Feb 14 12:30:44 GMT 2023","Tue Feb 14 12:31:00 GMT 2023","15569","tests","test_login_page_v1","","","","test_login_form",""
"skipped","Tue Feb 14 12:30:34 GMT 2023","Tue Feb 14 12:30:44 GMT 2023","9254","tests","test_headless","TestPageSearch","","","test_mail_search",""
"passed","Tue Feb 14 12:30:34 GMT 2023","Tue Feb 14 12:30:34 GMT 2023","384","tests","test_headless","TestPageSearch","","","test_yandex_search",""
"passed","Tue Feb 14 12:30:44 GMT 2023","Tue Feb 14 12:30:44 GMT 2023","74","tests","test_login_page_v1","","","","test_title",""
"passed","Tue Feb 14 12:30:33 GMT 2023","Tue Feb 14 12:30:34 GMT 2023","1235","tests","test_headless","TestPageSearch","","","test_google_search",""
