"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 14 12:35:57 GMT 2023","Tue Feb 14 12:35:57 GMT 2023","79","tests","test_login_page_v1","","","","test_title",""
"passed","Tue Feb 14 12:35:57 GMT 2023","Tue Feb 14 12:35:57 GMT 2023","830","tests","test_login_page_v1","","","","test_login_form",""
"passed","Tue Feb 14 12:35:45 GMT 2023","Tue Feb 14 12:35:45 GMT 2023","414","tests","test_headless","TestPageSearch","","","test_yandex_search",""
"passed","Tue Feb 14 12:35:43 GMT 2023","Tue Feb 14 12:35:45 GMT 2023","1498","tests","test_headless","TestPageSearch","","","test_google_search",""
"passed","Tue Feb 14 12:35:56 GMT 2023","Tue Feb 14 12:35:57 GMT 2023","487","tests","test_login_page_v1","","","","test_login_page",""
"skipped","Tue Feb 14 12:35:45 GMT 2023","Tue Feb 14 12:35:56 GMT 2023","10637","tests","test_headless","TestPageSearch","","","test_mail_search",""
