"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 06:51:57 GMT 2023","Wed Feb 08 06:51:57 GMT 2023","2","tests","test_check","","","","test_check",""
"skipped","Wed Feb 08 06:51:57 GMT 2023","Wed Feb 08 06:51:57 GMT 2023","1","tests","test_allure","","","","test_skip","this test is skipped"
"skipped","Wed Feb 08 06:51:57 GMT 2023","Wed Feb 08 06:51:57 GMT 2023","2","tests","test_check","","","","test_check_wrong",""
"passed","Wed Feb 08 06:51:57 GMT 2023","Wed Feb 08 06:51:57 GMT 2023","1","tests","test_allure","","","","test_success","this test succeeds  "
