"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 10:54:54 GMT 2023","Wed Feb 08 10:54:54 GMT 2023","0","tests","test_allure","","","","test_success","this test succeeds  "
"skipped","Wed Feb 08 10:54:54 GMT 2023","Wed Feb 08 10:54:54 GMT 2023","0","tests","test_check","","","","test_check_wrong",""
"passed","Wed Feb 08 10:54:54 GMT 2023","Wed Feb 08 10:54:54 GMT 2023","0","tests","test_check","","","","test_check",""
